"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"16","1080000006","oil cup M8×1","A","5","JB/T7940.1-1995"
"26","1040302489","washer 10-200HV","B","64","GB/T97.1-2002"
"27","02154400301230000","slider","B","22",""
"28","00771400301401020","adjustable spacer Tp1","B","64",""
"47","1040303580","washer 8-300HV","A","5","GB/T96.1-2002"
"50","1040004653","bolt M12×30-10.9","A","6","GB/T5783-2000"
"51","1040302490","washer 12-200HV","B","8","GB/T97.1-2002"
"62","1040004028","bolt M12×25-10.9","A","2","GB/T5783-2016"
"63","02151600301201031","slider T20","A","2",""
"64","02151600301401022","dam-board Tp12","A","1",""
"65","00771100600001050","lubrication-free bearing O78×4×81","A","2",""
"66","02151600301401031","seal plate Tp3","B","1",""
"67","1040004033","bolt M10×25-10.9","A","8","GB/T5783-2000"
"68","1040004517","bolt M8×16-8.8","A","4","GB/T5783-2000"
"69","02151600301401040","plate Tp8","B","1",""
