"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","1020706847(2)","48P公端护套","A","1",""
"2","1029901587","RNB","A","1",""
"3","1029804239(2)","socket outlet","B","1",""
"4","1020103232","4 core plug","A","1",""
"5","1029908085","force sensor","A","1",""
"6","1020703391(3)","连接器","A","1",""
"7","1029907452","尾灯","A","1",""
"8","1022202106(2)","bush","A","1",""
"9","1020304982","buzzer","A","1",""
"10","1029908076","摄像头","A","1",""
"11","1020700967","插座护套(十二插)","A","1",""
"12","1020700939(9)","接线插头","C","9",""
"13","1020703391(4)","连接器","A","1",""
"14","1029907453","尾灯","A","1",""
"15","1020705144","bush","A","1",""
"16","1021405397","angle sensor","A","1",""
"17","1159901487(3)","straight connector","A","1",""
"18","1021405411","stay cord sensor","A","1",""
"19","1029906298","limit switch","A","1",""
"20","1159901487(4)","straight connector","A","1",""
"21","1029902138(2)","tube preinsulation terminal","A","5",""
"22","02151606200250000","臂架电控箱总成","A","1",""
