"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","1020706847(3)","48P公端护套","A","1","2366509-1"
"2","1020700939(10)","接线插头","C","1","DT06-2S"
"3","1020700939(11)","接线插头","C","1","DT06-2S"
"4","1029902115","six core plug","A","1","DTM06-6S"
"5","1020701646","bush","A","2","DJ7013-6.3-2195"
"6","1029901608","RNB","A","1","GQ-OT10-8"
"7","1029901585","RNB","A","2","GQ-OT1.5-4"
"8","1020520312","94针插接件","B","1","3-1534904-4"
"9","1029900002","两位壳体","A","1","282189-1"
"10","1020700939(12)","接线插头","C","1","DT06-2S"
"11","1022202106(3)","bush","A","1","282080-1"
"12","1029900318(2)","bush","B","1","282087-1"
"13","1029900318(3)","bush","B","1","282087-1"
"14","1020700939(13)","接线插头","C","1","DT06-2S"
"15","1020700939(14)","接线插头","C","1","DT06-2S"
"16","1029901592","RNB","A","1","GQ-OT2.5-6"
"17","1022202383","终端电阻","B","1","DT04-3P-P006"
"18","1020700110","九路连接器","A","1","HD10-9-1939P"
"19","1029901587(2)","RNB","B","1","GQ-OT1.5-6"
"20","1020706076","terminal","A","1","8100-0461"
