"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"2","1040301016","washer 16-300HV","A","15","GB/T97.1-2002"
"4","00771402800001140","self-lubricating bearing O58×4×40","A","14",""
"7","1080000006","oil cup M8×1","A","8","JB/T7940.1-1995"
"44","1040002445","bolt M16×35-8.8","A","3","GB/T5783-2000"
"45","02151602803200001","lifting cylinder pin welds","B","1",""
"46","02151602800601010","bush I Ow77×3*","A","1",""
"47","02151602800620000","lifting cylinder","A","1",""
"48","00771402800001130","self-lubricating bearing O78×4×60","A","4",""
"49","02151602800601020","bush II Ow77×3*","A","1",""
"50","02151602800001050","spacer Tp1","A","6",""
"51","02151602801800001","pin II","B","1",""
"52","02151602800001440","self-lubricating bearing O58×4×75","A","1",""
"53","02151602805210000","aux leveling cylinder","A","1",""
"54","02151602804600000","pin","B","1",""
