"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"36","/(3)","/","/","1","DJ7061-6.3-21"
"37","1020700939(22)","接线插头","C","1","DT06-2S"
"38","1020700018","socket outlet","B","1","DJ7021-6.3-21"
"39","1020700019","socket outlet","A","1","DJ7041-6.3-21"
"40","1020700939(23)","接线插头","C","1","DT06-2S"
"41","1020705040","bush","A","3","DJ7086-6.3-21"
"42","1020700967(2)","插座护套(十二插)","A","1","DT06-12SA"
"43","1029906527","CAN收音机","A","1","TN-100"
"44","1029905861","收音机天线","A","1","QT1290B259"
"45","1020701549","34芯插接件","A","1","4-1437290-0"
"46","1020104677","力限器控制器","A","1",""
"47","1020700262(2)","片状UT接头","A","2","GQ-UT1.5-3"
"48","1020503030","带灯按钮","A","1","M22-WRLK-G"
"49","1020700262(3)","片状UT接头","A","2","GQ-UT1.5-3"
"50","1020520097","旋钮开关","A","1","M22-WRK/K10"
"51","1020703391(6)","连接器","B","1","DT06-6S"
"52","1029909566","按键面板","A","1",""
"53","1020700955","Plug sheath (four plugs)","A","1","DT06-4S"
"54","1029909565","按键面板","A","1",""
"55","/(4)","/","/","3","43025-0800"
"56","1020522322","拇指开关","A","3",""
"57","1029902115(3)","six core plug","A","1","DTM06-6S"
"58","1029907474","joystick","A","1",""
"59","1020700939(24)","接线插头","C","1","DT06-2S"
"60","1022202371","bush","A","1","DT04-2P"
"61","1020700262(4)","片状UT接头","A","2","GQ-UT1.5-3"
"62","1020502039","emergency stop button head","A","1","ZB2-BT4C"
"63","1022202383(2)","终端电阻","B","1","DT04-3P-P006"
"64","1022202383(3)","终端电阻","B","1","DT04-3P-P006"
"65","1029904668","bush","A","1","3-1437290-7"
"66","1022099258","display","A","1",""
"67","1029902320(2)","bush","A","1","DJ7013-6.3-21/95"
"68","1020514006","Key switch","A","1",""
"69","1020700021(2)","socket outlet","A","1","DJ7061-6.3-21"
"70","1022202106(4)","bush","A","1","282080-1"
