"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","02151605300270001","outrigger control valve installation
assembly","B","1",""
"2","02151605300290001","parking and brake valve mounting
assemble","A","1",""
"3","02151605200340002","1.4L energy accumulator installationg
assembly","A","1",""
"4","02151605200300001","gear switch valve installation
assembly","B","1",""
"5","02151605300220003","traveling motor mounting assembly","C","1",""
"6","02151605300250000","cooling motor mounting assembly","B","1",""
"7","02151605300240001","brake pump installation assembly","B","1",""
"8","02151605300280003","cooling control valve mounting
assembly","A","1",""
"9","02151605300210004","traveling pump mounting assembly
(Danfoss)","C","1",""
"10","02151605300350000","0.75L energy accumulator
installationg assembly","A","1",""
"11","02151605300260003","multi-way valve mounting assembly","B","1",""
"12","02151605300340000","float switch valve mounting assembly","A","1",""
"13","02151605300300002","brake oilcan mounting components","A","1",""
"14","02151605300330002","T-thread seat mounting assembly","A","1",""
"15","02151605300230003","implement pump mounting assembly","A","1",""
"16","02151605200290000","steering mode switch valve mounting
assembly","B","1",""
"17","02151605300310001","brake cylinder mounting components","A","1",""
"18","02151605200250001","steering gear mounting assembly","A","1",""
