"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"133","1040301510","washer 8","A","2","GB/T93-1987"
"134","1140101477","right-angle combination coupling
M18×1.5","A","4","EW12LOMDCF"
"135","1140105928","male stud connector φ22-G1/2A","A","2","GE22LR1/2EDOMD
CF"
"136","1040103117","screw M8×80-8.8","A","2","GB/T70.1-2000"
"137","1140101737","right-angle combination coupling
M36×2","A","1","EW28LOMDCF"
"138","1140101821","male stud connector","A","1","GE28LR11/4EDOM
DCF"
"139","1140101463","male stud connector G1/2/M18×1.5","A","5","GE12LR1/2EDOMD
CF"
"140","1140101992","plug screw G1/2","A","1","VSTI1/2EDCF"
"141","1140115619","long male stud connector","A","1","GE12LR1/2EDOMD
CF-L80"
"142","1019902683","Return oil block","A","1","ST5895-A00A"
