"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","02151603501200000","right rim assembly","A","2",""
"2","1029908085","force sensor","A","1","7_IMD_150"
"3","1030101169","Rear axle","A","1","212/10169634"
"4","02151603501400001","drive axle II","A","1",""
"5","02151603500200000","left rim assembly","A","2",""
"6","02151603500001010","压片 Tp22","A","8",""
"7","1040301510","washer 8","A","16","GB/T93-1987"
"8","1040006465","bolt 5/16-24UNF-2B×40-10.9","A","16","ASME B18.2.1-2012"
"9","02151603500600000","transfer case installation","E","1",""
"10","02151603501600001","drive axle I","A","1",""
"11","1040002514","bolt M12×50-10.9","B","4","GB/T5782-2000"
"12","1040301503","washer 12","A","4","GB/T93-1987"
"13","1040302490","washer 12-200HV","B","8","GB/T97.1-2002"
"14","1040202857","nut M12-10","A","4","GB/T889.1-2000"
"15","1030101168","Front axle","A","1","212/10169633"
"16","02151603500001020","axle sleeve Ow35*7","A","8",""
"17","1040302502","washer 20","A","8","GB/T1230-1991"
"18","1040004011","bolt M20×180-10.9","A","8","GB/T5782-2000"
