"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"30","02151601100210004","upper hood","A","1",""
"31","1040102737","screw M8×30-8.8","A","15","GB/T70.1-2000"
"32","1040303580","washer 8-300HV","A","23","GB/T96.1-2002"
"33","02151601100230002","hood mounting seat","B","1",""
"34","1040301515","washer 8-200HV","A","9","GB/T97.1-2002"
"35","1040301021","washer 14-300HV","B","6","GB/T97.1-2002"
"36","1040301504","washer 14","A","6","GB/T93-1987"
"37","1040004038","bolt M14×30-10.9","A","6","GB/T5783-2000"
"38","1040201089","nut M8-8","A","21","GB/T6170-2000"
"39","1040301510","washer 8","A","17","GB/T93-1987"
"40","02151601100250000","hinge","A","3",""
"41","1100700163","door handle","A","1","26983-09"
"42","1110100355","gas spring 弹伸长度
405mm,S=160mm,F=600N,M8×20","A","2","550696"
"43","1040006017","screw M6×25-A2-70","B","7","GB/T70.1-2000"
"44","1040300771","washer 6-200HV","A","8","GB/T97.1-2002"
"45","1109900766","battery gate lock","A","1","50076-C38K"
"46","02151601100201010","key cylinder mounting plate Tp6","A","1",""
"47","1040004029","bolt M12×35-10.9","A","2","GB/T5783-2000"
"48","1040301031","washer 12-300HV","A","11","GB/T96.1-2002"
"49","02151601100240000","latch seat","A","1",""
"50","02151601100201030","adjustable pad Tp5","B","1",""
"51","1040202861","nut M12-10","A","2","GB/T6170-2000"
"52","1040004678","knob bolt M10×70","A","2","M10×70"
"53","1040201646","nut M10-10","A","4","GB/T6170-2000"
"54","02151601100220003","lower hood","A","1",""
"55","02151601100201041","bending plate Tp1","B","1",""
"56","1040002555","bolt M6×16-A2-70","A","12","GB/T5783-2000"
"57","1040301610","washer 6","A","12","GB/T93-1987"
"58","1040303579","washer 6-300HV","A","12","GB/T96.1-2002"
"59","1040004028","bolt M12×25-10.9","A","7","GB/T5783-2016"
