"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","1040101437","screw M16×30-10.9","B","6","GB/T70.1-2000"
"2","1040301016","washer 16-300HV","A","15","GB/T97.1-2002"
"3","02151602802000000","pin I","C","2",""
"4","00771402800001140","self-lubricating bearing O58×4×40","A","14",""
"5","02151602800400001","outrigger welds","B","2",""
"6","02151602801010000","outrigger cylinder","B","2",""
"7","1080000006","oil cup M8×1","A","8","JB/T7940.1-1995"
"8","02151602802600002","outrigger plate welds","B","2",""
"9","02151602800001501","protective cover II Tp2","B","1",""
"10","02151602805000000","outrigger mounting pin","B","4",""
"11","02151602800001030","lubrication-free bearing O58×4×60","A","4",""
"12","02151602800001451","protective cover Tp2","B","1",""
