"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"15","1140108211","T-adjustable connector","A","1","TEE10LMOMDCF"
"16","1140101825","high pressure articulating joint","A","2","WH10LMKDSOMD
CF"
"17","1040302489","washer 10-200HV","B","8","GB/T97.1-2002"
"18","1040007221","bolt M10×60-10.9","A","4","GB/T5782-2000"
"19","02151600200801010","cylinder plug Φ32*","A","2",""
"20","1040201865","nut M6-8","A","2","GB/T6170-2000"
"21","1040002555","bolt M6×16-A2-70","A","2","GB/T5783-2000"
"22","02151600200840000","hydraulic cylinder","A","1",""
"23","02151600200801040","adjustable spacer Tp2 Tp2","A","8",""
"24","02151600200801020","adjustable spacer Tp0.5","A","8",""
"25","1040202856","nut M10-10","A","4","GB/T889.1-2000"
"26","1140109052","connector","A","2","GE10LR1/2EDOMD
CF"
"27","1140115181","fast changing connector G1/2","A","1","6603-8-10"
"28","1140115182","fast changing connector G1/2","A","1","6605-8-10"
"29","02151600200820000","fast changing hydraulic lock
installation assembly","A","1",""
