"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","1020999055","battery","B","1",""
"2","1020605356","battery fuse","A","1",""
"3","1020005456","DC contactor","A","1",""
"4","1020605356(2)","battery fuse","A","1",""
"5","1029900667","main power switch (knob)","A","1",""
"6","1020999231(2)","电源管理模块","A","1",""
"7","/(6)","Engine","/","/",""
"8","/(7)","Start motor","/","/",""
"9","/(8)","Generator","/","/",""
"10","/(9)","Preheater","/","/",""
"11","/(10)","Auxiliary power pump","/","/",""
"12","02151606200234010","relay and preheater wiring","B","1",""
"13","02151606200234020","battery positive and start motor wiring","C","1",""
"14","02151606200234030","battery negative and manual switch
wiring","B","1",""
"15","02151606200234040","manual switch to bonding wire","B","1",""
"16","02151606200234050","auxiliary power pump and fuse wiring","A","1",""
"17","02151606200234060","engine and negative bonding wiring","B","1",""
"18","02151606200234070","battery positive and preheating fuse
and generator wiring","B","1",""
"19","02151606200234080","蓄电池正极与保险","A","1",""
"20","02151606200234090","蓄电池负极与驾驶室电源盒","A","1",""
"21","02151606200234110","辅助动力泵搭铁线","A","1",""
"22","02151606200234120","驾驶室电源盒正与保险","A","1",""
"23","02151606200234130","起动机搭铁","A","1",""
