"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"19","1019902670","long male stud connector","A","1","GE08LREDOMDCF
-L45"
"20","1140102198","male stud connector","A","2","GE10LM18×
1.5EDOMDCF"
"21","1140114046","hydraulic pipe connector M16×1.5","A","1","EL10LOMD"
"22","1140101476","right-angle combination coupling
M16×1.5","A","3","EW10LOMDCF"
"23","1140105938","pressure gage connector φ10-G1/4","A","1","MAVE10LRCF"
"24","1140101475","right-angle combination coupling
M14×1.5","A","1","EW08LOMDCF"
"25","1040301510","washer 8","A","3","GB/T93-1987"
"26","1040004519","bolt M8×25-8.8","A","3","GB/T5783-2000"
"27","1040301515","washer 8-200HV","A","3","GB/T97.1-2002"
"28","1040201089","nut M8-8","A","3","GB/T6170-2000"
"29","1140114451","45° built-up joint","A","1","EV10LOMD"
"30","1019902669","long male stud connector","A","1","GE10LM18×
1.5EDOMDCF-
L41.5"
"31","1010201898","brake cylinder","A","1","VV08721C-001"
