"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","1040201865","nut M6-8","A","2","GB/T6170-2000"
"2","1040301610","washer 6","A","2","GB/T93-1987"
"3","1040300771","washer 6-200HV","A","2","GB/T97.1-2002"
"4","1021000449","condenser and electronic fan
assembly","A","1","KC72A003A"
"5","1040007536","bolt M10×35-10.9","A","11","GB/T5783-2000"
"6","1040301502","washer 10","A","16","GB/T93-1987"
"7","1040302489","washer 10-200HV","B","20","GB/T97.1-2002"
"8","1040201646","nut M10-10","A","4","GB/T6170-2000"
"9","1149801011","fluid pipe","A","1","KK82G002Z"
"10","1149801010","exhaust pipe","A","1","KK82G001Z"
"11","1149801012","air suction pipe","A","1","KK82G003Z"
"12","1040202856","nut M10-10","A","2","GB/T889.1-2000"
"13","1040007511","bolt M10×140-10.9","A","2","GB/T5782-2000"
"14","1070700028","compressor 8PK","A","1","KD82G001Z"
"15","1029908061","CAN control box DC12V","A","1","TJ82G001Z"
"16","1040301515","washer 8-200HV","A","10","GB/T97.1-2002"
"17","1040004520","bolt M8×30-8.8","A","4","GB/T5783-2000"
"18","1040201089","nut M8-8","A","5","GB/T6170-2000"
"19","1060200102","outer cycling filter","A","1","KG02G043Z"
"20","02151601200067670","蒸发器（短管）","A","1",""
"21","1040301510","washer 8","A","2","GB/T93-1987"
"22","1149902836","heating pipe 500mm×Φ16","A","2","KK82G007Z"
"23","1149902839","heating pipe to steel pipe Φ16 Φ16","A","2","20000301"
"24","1990202280","Turbine rod clamp 16-25","A","8","SX9/W4/16-25"
"25","1149902837","heating pipe (inlet) 2250mm×Φ16","A","1","KK82G008Z"
"26","1149902838","heating pipe (outlet) 2000mm×Φ16","A","1","KK82G009Z"
"27","1060100518","water valve","A","1","KK82G004Z"
"28","1149901636","weep pipe","A","1","KK08A001A"
"29","1220000035","air intake shell assembly","A","1","KG82G002Z"
"30","1040101692","bolt M10×1.25×25-10.9","B","1","GB/T5786-2000"
"31","1040004521","bolt M8×45-8.8","A","1","GB/T5783-2000"
