"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"13","1040301515","washer 8-200HV","A","35","GB/T97.1-2002"
"33","02151602802200001","support bracket","B","1",""
"34","1040502298","pin B20×160","A","2","GB/T882-2000"
"35","1040502299","fuse pin 5×40","A","2","DIN11023-1979"
"36","1040006672","star grip knob bolt M12×20-10.9","A","2","JB/T7274.4-1994"
"37","1040202856","nut M10-10","A","2","GB/T889.1-2000"
"38","02151602800001381","plate Tp3","B","1",""
"39","00771400800001051","pull rod φ10","A","2",""
"40","02151602804800002","battery bracket welds","B","1",""
"41","1040004520","bolt M8×30-8.8","A","4","GB/T5783-2000"
