"No.","Material No.","Item and Spec","Qty","Note"
"1","00772501000200000","Counterweight","1",""
"2","1040201382","Nut M16-8","2","GB/T6170-2000"
"3","1040006015","Bolt M16×55-8.8","4",""
"4","00772101000001020","Rubber pad T5","1",""
"5","1040004519","Bolt M8×25-8.8","5","GB/T5783-2000"
"6","1040301515","Washer 8-200HV","13","GB/T97.1-2002"
"7","1040002281","Bolt M8×20-10.9","3","GB/T5783-2000"
"8","00772501000001020","Mounting plate Tp8","1",""
"9","00772501000001030","Bending plate Tp5","1",""
"10","1040201089","Nut M8-8","5","GB/T6170-2000"
"11","00772701100001040","PlateTp5","1",""
"12","1040302513","Washer 16-200HV","7","GB/T96.1-2002"
"13","00771401000001050","Warning light bracket Tp6","1",""
"14","1040301505","Washer 16","1","GB/T93-1987"
"15","1040004570","Bolt M16×30-8.8","1","GB/T5783-2000"
