"No.","Material No.","Item and Spec","Qty","Note"
"1","00772500301000001","Fifth boom section","1",""
"2","1040002434","Bolt M10×25 -8.8","12","GB/T5783-2016"
"3","1040302489","Washer 10-200HV","12","GB/T97.1-2002"
"4","00772700301601070","Adjustable gasket","6",""
"5","00772700301801060","Adjustable gasket","2",""
"6","00772700301830000","Slider","2",""
"7","00772700301630000","Slider","2",""
"8","00772700301601021","Adjustable gasket","2",""
"9","00772700301601011","Adjustable gasket","6",""
"10","00772500302001021","Slider","2",""
"11","00772700302400000","Jib leveling cylinder","1",""
"12","00772700300001080","Lubrication-free 
bearing","4",""
"13","00772700300001090","Spacer bush","1",""
"14","00772700300001030","Jib leveling cylinder 
pin","1",""
"15","00772700300001040","Limit plate","2",""
"16","1040100421","Screw M8×20 -8.8","4","GB/T70.3-2000"
"17","00772700300001010","Jib Pin","2",""
"18","00773400400001250","Stop pin","2",""
"19","1040002447","Bolt M16×45 -8.8","2","GB/T5783-2000"
"20","00772500300001010","Gasket","4",""
"21","00772500300001060","Jib block","2",""
"22","1040102737","Screw M8×30 -8.8","4","GB/T70.1-2000"
