"No.","Material No.","Item and Spec","Qty","Note"
"1","00772706200230020","Turntable Electrical Cables","0",""
"2","1020305006","Glow plug relay","1",""
"3","/","Start motor relay","/",""
"4","/","Engine excitation","/",""
"5","/","Engine diagnosis","/",""
"6","/","Right side – forward valve","/",""
"7","/","Right side – reverse valve","/",""
"8","/","Left side – forward valve","/",""
"9","/","Left side – reverse valve","/",""
"10","/","J2（ECU）","/",""
"11","1020700540","Terminal resistance","1",""
"12","/","Air filter blocking alarm","/",""
"13","/","Coolant level","/",""
