"No.","Material No.","Item and Spec","Qty","Note"
"1","1040004033","Bolt M10×25-10.9","2",""
"2","1040302489","Washer 10-200HV","2",""
"3","02553207101001060/A","Bilateral clamp","1",""
"4","1040202855","Nut M8-8","8",""
"5","02553207101001040/A","Exhaust pipe I","1",""
"6","02553207101001050/A","Exhaust pipe bracket","1",""
"7","1089901077","V clamp","1",""
"8","1089901078","Spacer","1",""
"9","1000001565","After treatment assembly","1",""
"10","02553207101001120/A","Adjustable spacer","6",""
"11","02553200800001050/A","After treatment bracket","1",""
"12","1040303581","Washer 10-300HV","16",""
"13","1040000574","Bolt M10×30-10.9","8",""
"14","02553200800001030/A","After treatment bracket I","1",""
"15","1040302490","Washer 12-200HV","8",""
"16","1040002436","Bolt M12×25-8.8","8",""
"17","1089901079","Flat hoop","1",""
"18","02553207101001020/A","Exhaust pipe II","1",""
"19","02553207101001070/A","Exhaust sleeve","1",""
"20","1040301515","Washer 8-200HV","8",""
"21","1040004519","Bolt M8×25-8.8","4",""
"22","02553207101001080/A","Exhaust tail pipe","1",""
"23","02154407100101030/A","Hoop","2",""
"24","1040202856","Nut M10-10","8",""
"25","1040004518","Bolt M8×20-8.8","4",""
