"No.","Material No.","Item and Spec","Qty","Note"
"1","1040201382","Nut M16-8","20","GB/T6170-2000"
"2","1040301505","Washer 16","20","GB/T93-1987"
"3","1040302513","Washer 16-200HV","32","GB/T96.1-2002"
"4","00771401110001030","Pressing plate","10",""
"5","1040201089","Nut M8-8","41","GB/T6170-2000"
"6","1040301510","Washer 8","35","GB/T93-1987"
"7","1040302480","Washer 8-200HV","107","GB/T96.1-2002"
"8","00772701104000000","Hinge","10",""
"9","1040004520","Bolt M8×30-8.8","52","GB/T5783-2000"
"10","00772701100001040","PlateTp5","2",""
"11","1040004519","Bolt M8×25-8.8","8","GB/T5783-2000"
"12","1040301515","Washer 8-200HV","19","GB/T97.1-2002"
"13","1040200113","Nut M10-8","16","GB/T6170-2000"
"14","00772701100001030","Bending plate Tp6","2",""
"15","1040004678","Door stopper bolt M10×70 
M10×70","8",""
"16","00772701100001080","Adjustable gasket  ⅠTp5","2",""
"17","1040200503","Nut M8-8","15","GB/T889.1-2000"
"18","00772701101800000","Front hood bracket I","2",""
"19","1110100377","Gas spring 2064UK 
2064UK/950N/K4/D4","5",""
"20","00771601100001100","Front left- hood stay wire","1",""
"21","00772701102600000","Front hood bracket II","1",""
"22","00772701100001020","Door stopper bracket Tp8","1",""
"23","1040002281","Bolt M8×20-10.9","3","GB/T5783-2000"
"24","1110100376","Gas spring 555894 
555894/850N/K4/D4","4",""
"25","00772701102200000","Rear right- hood mounting 
bracket","1",""
"26","1040100105","Screw M6×25-8.8","26","GB/T70.1-2000"
"27","00771101100001021","Key cylinder mounting plate","1",""
"28","1100700163","Door handle 26983-09","4",""
