"No.","Material No.","Item and Spec","Qty","Note"
"1","1990202289","Spiral turbine rod clamp","3",""
"2","02553207100801090/A","Hose joint V","1",""
"3","02553207100801010/A","Intake steel tube","1",""
"4","1990202288","Spiral turbine rod clamp","2",""
"5","02553207100801040/A","Hose Joint I","1",""
"6","1990202290","Spiral turbine rod clamp","2",""
"7","02553207100801110/A","Intake pipe","1",""
"8","02553207100801060/A","Hose Joint II","1",""
"9","1009901388","Spiral turbine rod clamp","1",""
"10","1000100569","Air filter","1",""
"11","1040004519","Bolt M8×25-8.8","4",""
"12","1040303580","Washer 8-300HV","4",""
