"No.","Material No.","Item and Spec","Qty","Note"
"1","00772500301800001","Fourth boom section","1",""
"2","00772700302270000","Third retracting pulley","2",""
"3","00771600301001470","Wear gasket II","8",""
"4","00772700302201211","Lubrication-free bearing","2",""
"5","00772700301890000","Retracting boom pulley pin","2",""
"6","00772500301801030","Upper slider I","1",""
"7","1040302489","Washer 10-200HV","38","GB/T97.1-2002"
"8","1040002434","Bolt M10×25 -8.8","12","GB/T5783-2016"
"9","00772700302201370","Rope plate I","1",""
"10","1040101643","Screw M6×30 -A2-70","4","GB/T70.1-2000"
"11","00772700301601070","Adjustable gasket","12",""
"12","00772700301801060","Adjustable gasket","6",""
"13","00772700301830000","Slider","2",""
"14","00772700301840000","Slider","2",""
"15","1040004507","Bolt M10×40 -8.8","6","GB/T5783-2000"
"16","1040102737","Screw M8×30 -8.8","4","GB/T70.1-2000"
"17","00772700301801070","Cushion block","2",""
"18","00772700302201380","Rope plate II","1",""
"19","00772500302001021","Slider","2",""
"20","00772700302260000","Third extending pulley","2",""
"21","00772700302201281","Lubrication-free bearing","2",""
"22","00772700301850000","Pulley pin weld","2",""
"23","1040002433","Bolt M10×20 -8.8","2","GB/T5783-2000"
"24","1040004581","Bolt M10×80 -8.8","4","GB/T5783-2000"
"25","00772700302201190","Pulley cover III","2",""
"26","00772500301840001","Slider","1",""
"27","00772500301801040","Upper slider II","1",""
"28","1040200113","Nut M10-8","4","GB/T6170-2000"
"29","1040300771","Washer 6-200HV","17","GB/T97.1-2002"
"30","1040002555","Bolt M6×16 -A2-70","11","GB/T5783-2000"
"31","00772500301810000","Upper dust-proof brush","1",""
"32","1040005844","Bolt M6×10 -A2-70","6","GB/T5783-2000"
"33","00772500301820000","Side dust-proof brush","2",""
"34","00772500301830001","Slider","1",""
