"No.","Material No.","Item and Spec","Qty","Note"
"1","00772702800001100","Sensor protective cover Tp2","4",""
"2","1040301515","Washer 8-200HV","8","GB/T97.1-2002"
"3","1040301510","Washer 8","8","GB/T93-1987"
"4","1040004517","Bolt M8×16-8.8","8","GB/T5783-2000"
"5","00772702800001090","Mounting board Tp3","4",""
"6","1040200504","Nut M10-8","4","GB/T889.1-2000"
"7","1040302489","Washer 10-200HV","8","GB/T97.1-2002"
"8","1040005831","Bolt M10×25-DKL","32","GB/T5789-1986"
"9","00772702800001070","Sensor mounting flange Tp5","4",""
"10","1040102598","Screw M6×16-A2-70","16",""
"11","00772702800001080","Rotating disk","4",""
"12","1040500272","Pin 8×125","4","GB/T91-2000"
"13","1040202510","Nut M56-10.9","4","GB/T6179"
"14","00772702801600000","Pin weldment","4",""
"15","00772702800001181","Spacer bush IOw68×3.5*","8",""
"16","00772702800001040","Pin IVφ60*","4",""
"17","00773400400001250","Stop pin φ16×105*","16",""
"18","1040002446","Bolt M16×40-8.8","16","GB/T5783-2000"
"19","00772702800001060","Pin Vφ60*","8",""
"20","00772702800001230","Gasket Tp5","8",""
"21","00772702800001210","Lubrication-free bearing 
IIIO68×4×60","8",""
"22","00772702800001120","Gasket IITp5","4",""
"23","00772702800001170","Lubrication-free bearing 
IIO68×4×40","32",""
"24","00772702800001201","Spacer bush IIIOw68×3.5*","4",""
"25","00772702800600000","Steering bracket weldment I","2",""
"26","00772702801400000","Steering cylinder","4",""
