"No.","Material No.","Item and Spec","Qty","Note"
"1","00772507100601190/A","Plate Ⅱ","1",""
"2","00772707100601170/A","Plate Ⅱ","1",""
"3","1040004520","Bolt M8×30-8.8","9",""
"4","1040301515","Washer 8-200HV","34",""
"5","02553207100601140/A","Wind screen","1",""
"6","00772707100601180/A","Plate Ⅱ","1",""
"7","00772707100601160/B","Bending plate Ⅱ","1",""
"8","1040004637","Bolt M8×40-8.8","4",""
"9","1040004517","Bolt M8×16-8.8","15",""
"10","02553207100601030/A","Expansion water tank mounting plate","1",""
"11","1000300735","Expansion tank","1",""
"12","1040200503","Nut M8-8","15",""
"13","00772707100601150/B","Bending plate Ⅱ","1",""
"14","1000300963","Radiator assembly","1",""
"15","00772707100601120/A","Steam hose Ⅱ","1",""
"16","1990202279","Turbine rod clamp","10",""
"17","00772707100601110/A","Steam hose Ⅱ","1",""
"18","00772507100601020/A","Outlet tube","1",""
"19","00772707100601030/A","Hose Ⅱ","1",""
"20","00772707100601040/A","Hose Ⅱ","1",""
"21","02553207100601110/A","Steam hose II","1",""
"22","00771607110601130/A","T-joint","1",""
"23","02553207100601100/A","Steam hose I","1",""
"24","02553207100601150/A","Steam hose III","1",""
"25","1000300966","Fan assembly","1",""
"26","1040004508","Bolt M10×45-8.8","4",""
"27","00771407120601080/B","Fan block","1",""
"28","1040200504","Nut M10-8","4",""
"29","1040302489","Washer 10-200HV","8",""
"30","1040002435","Bolt M10×35-8.8","4",""
"31","00772707100601080/A","Water supply pipe","1",""
"32","1990202282","Turbine rod clamp","2",""
"33","1990202288","Spiral turbine rod clamp","8",""
