"No.","Material No.","Item and Spec","Qty","Note"
"1","1990202281","Turbine rod clamp","13",""
"2","02553207101201070/A","Return pipe I","1",""
"3","02553207101201110/A","Return pipe II","1",""
"4","1000401018","Urea tank","1",""
"5","02553207101201130/A","Drawstring","2",""
"6","1009901980","Urea tube","1",""
"7","1009901979","Urea tube","1",""
"8","1009901981","Urea tube","1",""
"9","1000401019","Urea pump","1",""
"10","1040103118","Screw M8×100-8.8","3",""
"11","1040303580","Washer 8-300HV","7",""
"12","1040202855","Nut M8-8","7",""
"13","02553207101201120/A","Return pipe III","1",""
"14","02553207101201040/A","water inlet pipe","1",""
"15","1040104080","Screw M5×12-8.8","2",""
"16","1040300514","Washer 5-200HV","2",""
"17","02553207101201090/A","T-joint","2",""
"18","02553207101201100/A","Outlet tube III","1",""
"19","1000301276","Cooling valve","1",""
"20","02553207101201080/A","Outlet tube II","1",""
"21","02553207101201060/A","Water inlet pipe I","1",""
