"No.","Material No.","Item and Spec","Qty","Note"
"1","1040004656","Bolt M10×65 -8.8","8","GB/T5782-2000"
"2","1040103375","Screw M10×30 -8.8","8",""
"3","00772700700401231","Clip T15","10",""
"4","1040302489","Washer 10-200HV","16","GB/T97.1-2002"
"5","00772700700401281","Short chain support Tp8","7",""
"6","00772500700420001","Lower dragging pipe","1",""
"7","00772500700410000","Main boom chain","2",""
"8","1040000135","Bolt M8×55 -8.8","4","GB/T5783-2000"
"9","1040004523","Bolt M8×70 -8.8","2","GB/T5783-2000"
"10","00772500700401030","Pressing plateTp4","1",""
"11","00772700700401241","Clip T30","1",""
"12","00772700700401270","Duct supporting plate Tp8","1",""
"13","1040200503","Nut M8-8","34","GB/T889.1-2000"
"14","1040002458","Bolt M8×40 -8.8","26","GB/T5783-2000"
"15","1040302512","Washer 10-200HV","50","GB/T96.1-2002"
"16","1040002434","Bolt M10×25 -8.8","34","GB/T5783-2000"
"17","1040302480","Washer 8-200HV","34","GB/T96.1-2002"
"18","00772500700440000","Long chain bracket","7",""
"19","00772700700401040","Duct upper cover Tp1.5","7",""
"20","00772700700450000","Duct lower cover","7",""
"21","00772700700460001","Installation seat","1",""
"22","00772700700401210","Adjustable gasket Tp2","2",""
"23","1040301515","Washer 8-200HV","26","GB/T97.1-2002"
"24","1040004619","Bolt M8×35 -8.8","14","GB/T5783-2000"
"25","00772700700401141","Slider mounting plate Tp8","1",""
"26","00772700700401131","Slider mounting plate Tp8","1",""
"27","00772700700401261","Thread plate Tp8","1",""
"28","1040004520","Bolt M8×30 -8.8","2","GB/T5783-2000"
"29","1040002435","Bolt M10×35 -8.8","12","GB/T5783-2000"
"30","1040200504","Nut M10-8","28","GB/T889.1-2000"
