"No.","Material No.","Item and Spec","Qty","Note"
"2","00773407000201071","Danger–Electric shock","4",""
"3","00773407000201081","Decal－Ground control box instruction","1",""
"6","00773407000201511","Cold start","1",""
"11","00773407000201211","Danger－Extrusion hazard","2",""
"15","00773407000201251","Decal－Plug stop pin when transporting","1",""
"16","00772507000201210","ZT58J-V turntable label assembly","1",""
"19","00773407000201321","Warn－Crash hazard","2",""
"37","00771407000201080","Decal–Blue arrow","6",""
"38","00771407000201090","Decal–Yellow arrow","6",""
"39","00771407000201100","Decal–Yellow triangle","2",""
"40","00771407000201110","Decal–Blue triangle","2",""
"45","00773407000201050","Decal–Zoomlion","1",""
