"No.","Material No.","Item and Spec","Qty","Note"
"1","00772700200001180","Close plate Tp2","1",""
"2","1040301515","Washer 8-200HV","26","GB/T97.1-2002"
"3","1040004517","Bolt M8×16 -8.8","8","GB/T5783-2000"
"4","00772700200001170","Approach switch mounting 
plate Tp5","1",""
"5","1040103110","Screw M8×10 -8.8","12","GB/T70.1-2000"
"6","00772700200001190","Sensor protective cover 
IITp1.5","1",""
"7","1040302489","Washer 10-200HV","76","GB/T97.1-2002"
"8","1040002434","Bolt M10×25 -8.8","33","GB/T5783-2000"
"9","00773400312600000","Slider assembly","4",""
"10","00773400300001101","Adjustable gasket （3mm）
Tp3","4",""
"11","70073400300001140","Adjustable gasket ⅤTp1","8",""
"12","00773400300001131","Adjustable gasket (2mm)Tp2","20",""
"13","00773700303000000","Slider assembly","12",""
"14","00773400300001200","Stop pin φ10×80","5",""
"15","1040004565","Bolt M10×30 -8.8-DKL","4","GB/T5783-2016"
"16","1010201694","Rotary actuator","1",""
"17","00772100200001200","Sensor protective cover 
Tp1.5","2",""
"18","00772700200001010","Pin IΦ35*","2",""
"19","00773400200001010","Bearing O43×4×25*","12",""
"20","00772700200001020","Pin IIΦ35*","1",""
"21","00772500202200000","Linkage II","1",""
"22","00772500200400000","Second section jib weld","1",""
"23","00772500201400000","Upper dust-proof brush","2",""
"24","1040006017","Screw M6×25 -A2-70","8",""
"25","1040300771","Washer 6-200HV","16","GB/T97.1-2002"
"26","1040201896","Nut M6-8","8","GB/T889.1-2015"
"27","00772500201800000","Side dust-proof brush","2",""
"28","1040002433","Bolt M10×20 -8.8","4","GB/T5783-2000"
"29","00772500200200000","First section jib weld","1",""
"30","1040004590","Bolt M8×14 -8.8","2","GB/T5783-2000"
"31","00772700202400000","Left board","1",""
"32","1040004518","Bolt M8×20 -8.8","4","GB/T5783-2000"
"33","00772700200001111","Telescopic cylinder 
adjustable gasket Tp1","6",""
"34","00772500200600000","Support","1",""
"35","00772700202200000","Right board","1",""
