"No.","Material No.","Item and Spec","Qty","Note"
"35","1040300771","Washer 6-200HV","18","GB/T97.1-2002"
"36","1040002555","Bolt M6×16 -A2-70","18","GB/T5783-2000"
"37","00772500301650000","Pin","2",""
"38","00772500301601030","Guide wheel","2",""
"39","1040004518","Bolt M8×20 -8.8","6","GB/T5783-2000"
"40","1040301515","Washer 8-200HV","6","GB/T97.1-2002"
"41","00772500301640000","Guide wheel bracket","1",""
"42","00772500301630000","Side dust-proof brush","2",""
"43","00772500301610001","Slider","2",""
"44","1040004594","Bolt M10×140 -8.8","12","GB/T5782-2000"
"45","00772700302201290","Rope plate","1",""
"46","1040002435","Bolt M10×35 -8.8","4","GB/T5783-2016"
"47","00772700301830000","Slider","2",""
"48","00772700301801060","Adjustable gasket","2",""
"49","00772500301601040","Upper slider I","1",""
"50","1040000135","Bolt M8×55 -8.8","2","GB/T5783-2000"
"51","1040302480","Washer","2","GB/T96.1-2002"
"52","00772700301201040","Adjustable pad","8",""
"53","00772700301201050","Adjustable pad","4",""
"54","00772500301601050","Upper slider II","1",""
"55","00772100301201120","Bolt","6",""
"56","1040201882","Nut M16","6","GB/T6172-2000"
