"No.","Material No.","Item and Spec","Qty","Note"
"1","00772500300200001","Base boom","1",""
"2","00772500300001040","Lifting cylinder pin","2",""
"3","00772500300001030","Card board","2",""
"4","1040103574","Screw M16×30 -8.8","8","GB/T70.3-2000"
"5","00772700300001110","Side cover I","2",""
"6","1040103076","Screw M8×16 -8.8","8","GB/T70.3-2008"
"7","00772500301201030","Card board","2",""
"8","00772700301201070","Adjustable pad","8",""
"9","1040300771","Washer 6-200HV","29","GB/T97.1-2002"
"10","1040002555","Bolt M6×16 -A2-70","12","GB/T5783-2000"
"11","1040004517","Bolt M8×16 -8.8","8","GB/T5783-2000"
"12","1040301515","Washer 8-200HV","13","GB/T97.1-2002"
"13","00772500300001050","Side cover II","2",""
"14","1040103110","Bolt M8×10 -8.8","5","GB/T70.1-2000"
"15","00772500300001020","Close plate","1",""
"16","1040004658","Bolt M10×110 -8.8","4","GB/T5782-2000"
"17","1040302489","Washer 10-200HV","8","GB/T97.1-2002"
"18","00772700300001070","Lubrication-free bearing","2",""
"19","1040004591","Bolt M4×8 -8.8","4","GB/T5783-2000"
"20","1040302410","Washer 4-200HV","4","GB/T97.1-2002"
"21","00771400340001090","Sensor cover","1",""
"22","00772700301230000","Upper dust-proof brush","1",""
"23","00772700301801060","Adjustable gasket","2",""
"24","1040002738","Bolt M6×12 -A2-70","17","GB/T5783-2000"
"25","00772500301220000","Lower dust-proof brush I","1",""
"26","00772500301230000","Lower dust-proof brush II","2",""
"27","00772500301210000","Side dust-proof brush","2",""
"28","1040004581","Bolt M10×80 -8.8","12","GB/T5783-2000"
"29","1040302512","Washer 10-200HV","22","GB/T96.1-2002"
"30","1040005845","Bolt M10×65 -8.8","6","GB/T5783-2000"
"31","00772700301601070","Adjustable gasket","4","GB/T889.1-2000"
"32","00772700301220000","Slider","2",""
"33","00772500301241011","Slider","4",""
"34","1040000135","Bolt M8×55 -8.8","2","GB/T5783-2000"
