"No.","Material No.","Item and Spec","Qty","Note"
"1","1140101479","Tube to swivel","1","EW18LOMDCF"
"2","1140102812","Male stud connector","1","GE18LREDOMDCF"
"3","1010307656","Jib control valve","1","ST5513-AB00"
"4","1040302489","Washer","4","10-200HV"
"5","1040301502","Washer","4","10"
"6","1040002433","Bolt","4","M10×20-8.8"
"7","1140101478","Tube to swivel","2","EW15LOMDCF"
"8","1140101464","Male stud connector","1","GE15LREDOMDCF"
"9","1140101462","Male stud connector","1","GE12LREDOMDCF"
"10","1140101477","Tube to swivel","1","EW12LOMDCF"
"11","1140101465","Male stud connector","1","GE15LR3/8EDOMDCF"
"12","1140111237","Male stud connector","6","GE08LREDOMDCF"
