"No.","Material No.","Item and Spec","Qty","Note"
"1","00772706200230060","Controller plug 1","0",""
"2","00772706200230060","Controller plug 2","0",""
"3","1029907519","Front wheel outrigger- electronic ruler","1",""
"4","1021404727","Left front wheel - steering angle sensor","1",""
"5","/","Left front-steering extending valve","/",""
"6","/","Left rear-steering extending valve","/",""
"7","/","Front axle-left extending valve","/",""
"8","/","Rear axle-left extending valve","/",""
"9","/","Left front-steering retracted valve","/",""
"10","/","Left rear-steering retracted valve","/",""
"11","/","Front axle-left retracted valve","/",""
"12","/","Rear axle-left retracted valve","/",""
"13","1021404727","Turntable angle sensor","1",""
"14","1029907518","Slip ring plug 2","1",""
"15","1029907518","Slip ring plug 1","1",""
"16","1021404727","Left rear wheel-steer angle sensor","1",""
"17","1029907519","Left rear-outrigger electronic ruler","1",""
"18","1029907519","Right rear wheel-outrigger electronic ruler","1",""
"19","1021404727","Right front wheel-steer angle sensor","1",""
"20","1029907519","Right front wheel-outrigger electronic ruler","1",""
"21","/","Two-speed valve","/",""
"22","/","Brake valve","/",""
"23","1021404727","Right rear wheel-steer angle sensor","1",""
"24","/","Right front steering extending valve","/",""
"25","/","Right rear steering extending valve","/",""
"26","/","Front axle-right extending valve","/",""
"27","/","Rear axle-right extending valve","/",""
"28","/","Right front steering retracted valve","/",""
"29","/","Right rear steering retracted valve","/",""
"30","/","Front axle-right retracting valve","/",""
"31","/","Rear axle-right retracting valve","/",""
