"No.","Material No.","Item and Spec","Qty","Note"
"39","00771101100001081","Key cylinder mounting plate","1",""
"40","1040102774","Screw M6×15-8.8","2","GB/T70.1-2000"
"41","1040002434","Bolt M10×25-8.8","3","GB/T5783-2000"
"42","1040302512","Washer 10-200HV","3","GB/T96.1-2002"
"43","00772701103000001","Rear left – lock seat","1",""
"44","00772701100001010","Rear left lock seat - mounting 
plate Tp6","1",""
"45","00772701100600001","Rear left – hood weldment","1",""
"46","00771101103200000","Diesel door","1",""
"47","00771901100001330","Draw cord Tp3","1",""
"48","00772701100400001","Front left – hood weldment","1",""
"49","00772701102800000","Front hood bracket III","1",""
"50","00772701100001060","Seal plate I","1",""
"51","00772701103400000","Front hood bracket V","1",""
"52","00772701100001050","Plate Tp5","2",""
"53","1110100378","Gas spring 2669NZ 2669NZ","4",""
"54","1040201896","Nut M6-8","16","GB/T889.1-2015"
"55","00772701102000000","Rear left – hood mounting 
bracket","1",""
"56","1040300735","Washer 6-200HV","32","GB/T96.1-2002"
"57","1040001640","Bolt M6×25-A2-70","16","GB/T5783-2000"
"58","00772701100001070","Seal plate II","1",""
"59","00771401110001021","Front left – key cylinder 
mounting plate Tp6","1",""
"60","00772701100001090","Adjustable gasket  ⅡTp12","1",""
"61","00772701102400001","Front left lock seat","1",""
"62","00772701103200000","Front hood bracket IV","1",""
"63","1110100379","Gas spring 000815-1050N 
000815-1050N","4",""
"64","1040004518","Bolt M8×20-8.8","7","GB/T5783-2000"
"65","1040005681","Hexagon bolt M16×65-8.8","12","GB/T5783-2016"
"66","00771101120001010","Smoke outlet sealing plate","1",""
