"No.","Material No.","Item and Spec","Qty","Note"
"1","00772702800001240","Installation set φ15*","8",""
"2","1040004523","Bolt M8×70-8.8","8","GB/T5783-2000"
"3","00772702800001181","Spacer bush IOw68×3.5*","8",""
"4","00772702800001030","Pin IIIφ60*","4",""
"5","00772702800001110","Gasket ITp5","4",""
"6","00772702800001011","Pin Iφ110*","4",""
"7","00772702800001050","Stop pin φ20×120*","4",""
"8","1040005848","Bolt M24×70-10.9","4","GB/T5783-2000"
"9","00772702800800000","Outrigger II","2",""
"10","00772702801200000","Outrigger telescopic cylinder","4",""
"11","00772702800001170","Lubrication-free bearing 
IIO68×4×40","32",""
"12","00772702800001191","Spacer bush IIOw68×3.5*","4",""
"13","00772702800001060","Pin Vφ60*","8",""
"14","00773400400001250","Stop pin φ16×105*","16",""
"15","1040002446","Bolt M16×40-8.8","16","GB/T5783-2000"
"16","00772702800001220","Seal cover Tp10","4",""
"17","1040005855","Bolt M12×30-8.8","16","GB/T16674.1-2004"
"18","00772702800001130","Lubrication-free bearing 
IO118×4×90","8",""
"19","1040103120","Screw M10×60-8.8","4","GB/T70.1-2000"
"20","00772702800001250","Nylon block T30","2",""
"21","1040301502","Washer 10","4","GB/T93-1987"
"22","00772702800001260","Adjustable gasket Tp5","12",""
"23","1040005831","Bolt M10×25-DKL","32","GB/T5789-1986"
"24","00772702800001160","Seal plate IITp3","4",""
"25","00772702800400000","Outrigger I","2",""
