"No.","Material No.","Item and Spec","Qty","Note"
"31","00772700700401150","Pressing plateTp4","5",""
"32","00772700700401071","Lower slider T40","2",""
"33","00772700700401091","Upper slider T40","2",""
"34","00772700700401111","Slider mounting plate Tp8","1",""
"35","00772500700401120","Adjustable pad Tp2","10",""
"36","00772700700401121","Slider mounting plate Tp8","1",""
"37","1040103116","Screw M8×75-10.9","12","GB/T70.1-2000"
"38","00772700700401200","Adjustable gasket Tp1","2",""
"39","1040102761","Screw M10×20-8.8","4","GB/T70.1-2000"
"40","00772500700430001","Upper dragging pipe","1",""
