"No.","Material No.","Item and Spec","Qty","Note"
"1","1040302490","Washer","4","GB/T97.1-2002"
"2","1040000575","Bolt","4","M12×35-10.9"
"3","1010002296","Traveling pump","1","H1-T-045-R-A-A-N-A2-C1-
N-E7-F-G5-H5-35-35-35-35-
N-P-34-PN-NNN-NNN"
"4","1010002297","Function pump","1","JR-R-S51B-LB-28-21-NN-E
-3-C3AY-A8N-NNN-JJJ-NN
N"
"5","1140105214","Flange","1","FHS38/12CFX"
"6","1140107814","Male stud connector","1","GE08L7/16UNFOMDCF"
"7","1010002298","Gear pump","1","SNP2NN-/-017-R-N-06-SA-
P1-E8-E6-NN-N-N-/-NNN-
N-N"
"8","1040302489","Washer","2","10-200HV"
"9","1040102742","Screw","2","3/8×11/4-10.9"
"10","1140105246","Male stud connector","1","GE15L7/8UNFOMDCF"
"11","1140111770","Male stud connector","4","GE20S15/16UNOMDUF"
"12","1140105936","Male stud connector","1","GE22L11/16UNOMDCF"
"13","1140115046","Male stud connector","1","GE28L11/16UNOMDCF"
"14","1140101564","Flange","1","FHS34CFX"
"15","1140105246","Male stud connector","2","GE15L7/8UNFOMDCF"
