"No.","Material No.","Item and Spec","Qty","Note"
"29","1040300771","Washer 6-200HV","36","GB/T97.1-2002"
"30","1109900766","Battery gate lock 50076-C38K","2",""
"31","00772701103600001","Rear right - lock seat","1",""
"32","02553201100800000","Rear right - hood weldment","1",""
"33","02553201100200000","Rear front - hood weldment","1",""
"34","00772701103800001","Rear front - lock seat","1",""
"35","1109900765","Hydraulic lock 50075-C37K","2",""
"36","00771401110001011","Front right- key cylinder 
mounting plate Tp6","1",""
"37","1040101643","Screw M6×30-A2-70","4","GB/T70.1-2000"
"38","1040004517","Bolt M8×16-8.8","4","GB/T5783-2000"
