"No.","Material No.","Item and Spec","Qty","Note"
"1","/","Jib flow valve","",""
"2","/","Jib leveling-up valve","",""
"3","/","Jib leveling-down valve","",""
"4","/","Jib extending valve","",""
"5","/","Jib retracting valve","",""
"6","/","Jib lifting valve","",""
"7","/","Jib lowering valve","",""
"8","1021404019","Jib lifting angle sensor","1",""
"9","1021404019","Jib leveling angle sensor","1",""
"10","1020516032","Jib approach switch 1","1",""
"11","1020516032","Jib approach switch 2","1",""
"12","1021404630","Jib lifting cylinder – length sensor","1",""
"13","00772706200230030","Platform electrical Cables","0",""
"14","00772706200230050","Jib electrical Cables","0",""
