"No.","Material No.","Item and Spec","Qty","Note"
"1","00772706200230030","Platform electrical control box 
plug","0",""
"2","1029907616","Anemograph","1",""
"3","1029906298","Anti-extrusion switch 1","1",""
"4","1029906298","Anti-extrusion switch 2","1",""
"5","1021404630","Platform leveling cylinder-length 
sensor","1",""
"6","1020521022","Platform foot switch","1",""
"7","00772706200230030","Platform electrical Cables","0",""
"8","/","Platform leveling-down valve","/",""
"9","/","Platform right-turn valve","/",""
"10","/","Platform leveling-up valve","/",""
"11","/","Platform left rotating valve","/",""
"12","/","Platform unloading valve","/",""
"13","1021404019","Platform angle sensor","1",""
"14","1020700540","Terminal resistance","1",""
"15","1029907627","Load cell","1",""
