"No.","Material No.","Item and Spec","Qty","Note"
"1","00772700700610000","Lifting chain","1",""
"2","1040200504","Nut M10-8","12","GB/T889.1-2000"
"3","00772700700601020","Fixed plate Tp8","1",""
"4","00772700700601060","Clip T30","1",""
"5","00772700700601030","Pressing plateTp4","1",""
"6","1040103375","Screw M10×30-8.8","8",""
"7","1040302489","Washer 10-200HV","10","GB/T97.1-2002"
"8","1040006403","Bolt","2",""
"9","00772700700401290","Adjustable pad Tp2","1",""
"10","1040302512","Washer 10-200HV","2","GB/T96.1-2002"
"11","1040002435","Bolt M10×35-8.8","2","GB/T5783-2000"
