"No.","Material No.","Item and Spec","Qty","Note"
"1","1020900063","Battery","2",""
"2","1020605356","Annular fuse","2",""
"","00773406200621040","Annular fuse bracket","2",""
"","1020402443","Insulating nut","2",""
"3","00772706200234040","Auxiliary power pump and fuse 
wiring","1",""
"4","1020305006","DC contactor","1",""
"5","00772706200234020","Battery negative pole to manual 
switch","1",""
"6","1029900667","Manual switch","1",""
"7","00772706200234030","Manual switch to bonding wiring","1",""
"8","00772706200234050","Engine and negative pole bonding 
wiring","1",""
"9","/","Bonding bolt","/",""
"10","/","Relay and preheater wiring","1",""
"11","00772706200234060","Battery and preheating fuse and 
engine wiring","1",""
"12","00772706200234010","Battery positive pole and start 
motor wiring","1",""
