"No.","Material No.","Item and Spec","Qty","Note"
"1","00772702800001110","Gasket ITp5","4",""
"2","00772702800001050","Stop pin φ20×120*","4",""
"3","1040005848","Bolt M24×70-10.9","4","GB/T5783-2000"
"4","00772702800001011","Pin Iφ110*","4",""
"5","00772702800001130","Lubrication-free bearing 
IO118×4×90","8",""
"6","1040002446","Bolt M16×40-8.8","16","GB/T5783-2000"
"7","00772702800001060","Pin Vφ60*","8",""
"8","00772702800001181","Spacer bush IOw68×3.5*","8",""
"9","1040004523","Bolt M8×70-8.8","8","GB/T5783-2000"
"10","00772702800001240","Installation setφ15*","8",""
"11","00772702800800000","Outrigger II","2",""
"12","00772702800001160","Seal plate IITp3","4",""
"13","1040005831","Bolt M10×25-DKL","32","GB/T5789-1986"
"14","00772702801200000","Outrigger telescopic cylinder","4",""
"15","00772702800001220","Seal cover Tp10","4",""
"16","1040005855","Bolt M12×30-8.8","16","GB/T16674.1-2004"
"17","00772702800001191","Spacer bush IIOw68×3.5*","4",""
"18","00772702800001170","Lubrication-free bearing 
IIO68×4×40","32",""
"19","00772702800400000","Outrigger I","2",""
"20","00773400400001250","Stop pin φ16×105*","16",""
"21","00772702800001030","Pin IIIφ60*","4",""
