"No.","Material No.","Item and Spec","Qty","Note"
"1","00772500300600001","Third boom section","1",""
"2","1040002433","Bolt M10×20 -8.8","4","GB/T5783-2000"
"3","1040302489","Washer 10-200HV","42","GB/T97.1-2002"
"4","00772700301680000","Retracting pulley pin","2",""
"5","00772700302201211","Lubrication-free bearing","4",""
"6","00771600301001470","Wear gasket II","12",""
"7","00772700302250000","Second retracting pulley","2",""
"8","00772700302201390","Rope plate III","1",""
"9","1040101643","Screw M6×30 -A2-70","12","GB/T70.1-2000"
"10","00772700301630000","Slider","2",""
"11","00772700301601021","Adjustable gasket","2",""
"12","00772700301601011","Adjustable gasket","6",""
"13","1040002434","Bolt M10×25 -8.8","22","GB/T5783-2016"
"14","00772700301430000","Slider","2",""
"15","00772700301601070","Adjustable gasket","10",""
"16","1040103112","Screw M8×25 -8.8","4","GB/T70.1-2000"
"17","00772700301601060","Cushion block","2",""
"18","00772500301601011","Slider","2",""
"19","00772500302201210","Card board I","4",""
"20","1040200741","Nut M20-10","4","GB/T889.1-2000"
"21","1040201484","Nut M20-10","4","GB/T6170-2000"
"22","00772700300601160","Anti-rotating tube II","2",""
"23","00772500302201060","Third retracting wire rope","2",""
"24","00772500302201050","Third extending wire rope","2",""
"25","00772700302240000","Second extending pulley","3",""
"26","1040004511","Bolt M12×30 -8.8","1","GB/T5783-2000"
"27","1040302490","Washer 12-200HV","1","GB/T97.1-2002"
"28","00772500301670000","Extending pulley pin","1",""
"29","00772700302201300","Wear gasket","6",""
"30","00772700302201231","Lubrication-free bearing","3",""
"31","1040500394","Open pin 5×40","4","GB/T91-2000"
"32","00772500302201200","Sleeving II","2",""
"33","00772700302201070","Pulley cover","2",""
"34","00772500301620000","Upper dust-proof brush","1",""
