"No.","Material No.","Item and Spec","Qty","Note"
"1","1000001564","Diesel engine","1",""
"2","1040003912","Bolt M16×120-10.9-DKL","4",""
"3","1040302492","Washer 16-200HV","4",""
"4","00772707100201021/A","Bending plate Ⅱ","1",""
"5","00773407140201060/B","Washer","4",""
"6","1040302490","Washer 12-200HV","16",""
"7","1040004644","Bolt M12×45-10.9","2",""
"8","00772707100201051/A","Bending plate Ⅱ","1",""
"9","1040004029","Bolt M12×35-10.9","12",""
"10","1009901073","Engine damper","8",""
"11","00772707100201010/A","Base plate","4",""
"12","1040200161","Nut M16-8","4",""
"13","02553207110210000/A","Engine tray","1",""
"14","1040002435","Bolt M10×35-8.8","12",""
"15","1040302489","Washer 10-200HV","12",""
"16","00772707100201080/A","Coupler cover","1",""
"17","1040006401","Bolt 3/8-16UNC-2A×35-10.9","8",""
"18","1009901109","Elastic coupler assembly","1",""
"19","1040005846","Bolt M12×20-8.8","2",""
"20","1040301515","Washer 8-200HV","4",""
"21","1040004519","Bolt M8×25-8.8","4",""
"22","00772507100201070/A","Bending plate Ⅱ","1",""
"23","00772707100201061/A","Bending plate Ⅱ","1",""
"24","00772707100201031/A","Bending plate Ⅱ","1",""
