"No.","Material No.","Item and Spec","Qty","Note"
"1","00773407000201061","Decal－Fuel according to Operator Manual","2",""
"4","00773407010201031","Handrail position label","2",""
"8","00773407000201181","Decal－No stepping","4",""
"9","00773407000201191","Danger－Crashing hazard","2",""
"10","00773407000201201","Caution－No handrail or lanyard","3",""
"12","00773407000201491","Decal–High oil level","1",""
"13","00773407000201231","Warn－Footswitch failure","1",""
"18","00771407000201151","Diesel tank","2",""
"21","00773407000201371","Danger－Explosion hazard (cid:31)","2",""
"23","00773407000201391","Keep the manual","1",""
"24","00772507000201220","ZT58J-V platform label assembly","1",""
"25","00773407000201411","Decal－Safety lanyard point","6",""
"28","00773407000201221","Decal-Platform indicator","1",""
"30","00773407000201471","Burn hazard","2",""
"31","00773407000201481","Low oil level label","1",""
"35","00772707000201021","Wheel load","4",""
"36","00773407000201141","Platform control box instruction","1",""
"44","00773407000201010","Zoomlion LOGO (cid:31)","1",""
