"No.","Material No.","Item and Spec","Qty","Note"
"1","00772706200230010","Turntable electrical control box assembly 1","1",""
"2","00772706200230010","Turntable electrical control box assembly 2","0",""
"3","00772706200230010","Turntable electrical control box assembly 3","0",""
"4","1020404399","Work alarm light","1",""
"5","/","Light plug","/",""
"6","/","Oil-water separator","/",""
"7","1021404070","Main valve pressure sensor","1",""
"8","/","Unloading valve","/",""
"9","/","Left steering valve","/",""
"10","/","Boom-up valve","/",""
"11","/","Boom extending valve","/",""
"12","/","Boom emergency lower valve","/",""
"13","/","Right steering valve","/",""
"14","/","Boom lowering valve","/",""
"15","/","Boom retracting valve","/",""
"16","/","Chassis flow valve","/",""
"17","/","LS select valve","/",""
"18","/","Rotary flow valve","/",""
"19","/","Boom lifting flow valve","/",""
"20","/","Boom extending flow valve","/",""
"21","1029907518","Slip ring plug 2","1",""
"22","1029907518","Slip ring plug 1","1",""
"23","1029906298","Turntable angle limit switch","1",""
"24","/","Auxiliary power pump- relay connector 1","/",""
"25","/","Auxiliary power pump- relay connector 2","/",""
"26","1020304982","Alarm buzzer","1",""
"27","1021404019","Frame angle sensor","1",""
"28","/","Bonding","/",""
"29","/","Battery positive pole","/",""
"30","00772706200230020","ECU electrical cable","0",""
"31","/","Radiator","/",""
"32","/","Boom-down cylinder valve 2","/",""
