"No.","Material No.","Item and Spec","Qty","Note"
"1","00772500300400001","Second boom section","1",""
"2","1040002433","Bolt M10×20 -8.8","5","GB/T5783-2000"
"3","1040302489","Washer 10-200HV","48","GB/T97.1-2002"
"4","00772700301470000","Pin","2",""
"5","00772700302201281","Lubrication-free bearing","2",""
"6","00771600301001470","Wear gasket","4",""
"7","00772700302230000","First retracting pulley","2",""
"8","00772500302201070","Rope plate V","1",""
"9","1040101643","Screw M6×30 -A2-70","4","GB/T70.1-2000"
"10","00772700301420000","Slider","2",""
"11","00772700301601011","Adjustable gasket","4",""
"12","00772700301601021","Adjustable gasket","2",""
"13","1040002434","Bolt M10×25-8.8","21","GB/T5783-2000"
"14","00772700301490000","Slider","2",""
"15","00772700301401090","Adjustable pad","4",""
"16","00772700301401080","Adjustable pad","2",""
"17","1040004508","Bolt M10×45 -8.8","4","GB/T5783-2000"
"18","1040002555","Bolt M6×16 -A2-70","12","GB/T5783-2000"
"19","1040300771","Washer 6-200HV","23","GB/T97.1-2002"
"20","00772700301401070","Adjustable pad","6",""
"21","1040004581","Bolt M10×80 -8.8","4","GB/T5783-2000"
"22","00772500301401030","Card board","2",""
"23","00772500301401021","Slider","2",""
"24","00772500302201040","Second retracting wire rope","2",""
"25","00772500302201210","Card board I","2",""
"26","1040200741","Nut M20-10","2","GB/T889.1-2000"
"27","1040201484","Nut M20-10","2","GB/T6170-2000"
"28","1040302493","Washer 20-200HV","2","GB/T97.1-2002"
"29","00772500302201220","Card board II","3",""
"30","1040201111","Nut M24-10","3","GB/T889-1986"
"31","1040201092","Nut M24-10","3","GB/T6170-2000"
"32","00772500302201030","Second extending wire rope","3",""
"33","00772700301410000","Upper dust-proof brush","1",""
"34","1040002738","Bolt M6×12 -A2-70","11","GB/T5783-2000"
