"No.","Material No.","Item and Spec","Qty","Note"
"65","00772700302201160","Wire rope slot I","2",""
"66","00772700302201140","Wire rope slot","2",""
"67","00772500302201120","L plate","2",""
"68","1040002436","Bolt M12×25 -8.8","4","GB/T5783-2000"
"69","00772700302220000","First extending pulley","4",""
"70","1040102757","Screw M10×25 -8.8","2","GB/T70.3-2000"
"71","00772700302300000","Extending pulley pin","1",""
"72","00772700302201241","Lubrication-free bearing","4",""
"73","00772700302201090","Wear gasket","2",""
"74","00772700302201080","Wear gasket","1",""
"75","00772700302201200","Wear gasket","1",""
"76","00772500302201140","Stop plate","1",""
"77","1040500394","Open pin 5×40","4","GB/T91-2000"
"78","00772500302201190","Sleeving I","2",""
"79","00772500302201100","Pulley cover","4",""
"80","00772700302201110","Wear gasket","3",""
"81","00771900311001240","Roller bearing","4",""
"82","00772700302290000","Roller","2",""
"83","00772500302220000","Extending pulley bracket","1",""
"84","00772700302201150","Pulley side slider","2",""
"85","1040102737","Screw M8×30 -8.8","12","GB/T70.1-2000"
"86","00772700302330000","Roller Pin","1",""
"87","1040004646","Bolt M10×15 -8.8","1","GB/T5783-2000"
"88","00772700302201120","Pulley side slider","2",""
"89","00772500302201110","Pulley side slider","2",""
"90","00772500302201090","Guide block","2",""
"91","1040102042","Bolt M12×20 -10.9-DKL","2","GB/T70.1-2000"
"92","1040201092","Nut M24-10","2","GB/T6170-2000"
"93","1040201111","Nut M24-10","2","GB/T889-1986"
"94","1040002433","Bolt M10×20 -8.8","2","GB/T5783-2000"
"95","00772500302201220","Card board II","2",""
"96","00772500302201020","First retracting wire rope","2",""
"97","00772500302201010","First extending wire rope","4",""
