"No.","Material No.","Item and Spec","Qty","Note"
"1","1010500489","Air filter","2","EFB480H150-W"
"2","1040004518","Bolt","20","M8×20-8.8"
"3","1040301510","Washer","22","8"
"4","1040301515","Washer","22","8-200HV"
"5","00772705211820000","Cover assembly","2",""
"6","00772705211801100","Cover rubber pad","2",""
"7","00772705211810000","Tank body","1",""
"8","1019901354","Liquid level thermometer","2","FSA-176-1.0/T/10"
"9","1140107416","Hexagon socket end plug","16","VSTI1/2EDCF"
"10","1140111237","Male stud connector","2","GE08LREDOMDCF"
"11","1140101462","Male stud connector","1","GE12LREDOMDCF"
"12","1140101464","Male stud connector","2","GE15LREDOMDCF"
"13","1140101707","Male stud connector","1","GE22LREDOMDCF"
"14","1149901683","Male stud connector","1","GE42LREDOMDCF"
"15","1040004519","Bolt","2","M8×25-8.8"
"16","1010601139","Return oil filter","1","RFMON185B 
D10A1.0/-V300"
"17","1140103362","Male stud connector","2","GE28LREDOMDCF"
"18","1040302490","Washer","4","12-200HV"
"19","1040300054","Washer","4","12"
"20","1040004511","Bolt","4","M12×30-8.8"
