"No.","Material No.","Item and Spec","Qty","Note"
"1","1140114942","45° combined connector","8","EV18LOMDCF"
"2","1140102812","Male stud connector","8","GE18LREDOMDCF"
"3","1010307490","Traveling splite-flow valve","1","ST5457-A000"
"4","1140101523","Male stud connector","2","GE20SREDOMDCF"
"5","1140114701","Long male stud connector","2","GE20SREDOMDCF-L100"
"6","1140101534","Tube to swivel","4","EW20SOMDCF"
"7","1140111237","Male stud connector","1","GE08LREDOMDCF"
"8","1040301515","Washer","4","8-200HV"
"9","1040301510","Washer","4","8"
"10","1040004518","Bolt","4","M8×20-8.8"
"11","1140101820","Male stud connector","1","GE15LR3/4EDOMDCF"
