"No.","Material No.","Item and Spec","Qty","Note"
"","1040006471","Screw M10×125 -8.8","2","GB/T5782-2000"
"36","1040002435","Bolt M10×35-8.8","12","GB/T5783-2016"
"","1040004535","Bolt M10×60-8.8","2","GB/T5782-2000"
"38","00772700301810000","Slider","2",""
"","1040000135","Bolt M8×55-8.8","2","GB/T5783-2000"
"40","1040302480","Washer 8-200HV","2","GB/T96.1-2002"
"","1040201882","Nut M16","6","GB/T6172-2000"
"42","00772100301201120","Bolt","6",""
"","00772700301201040","Adjustable pad","8",""
"44","00772700301201050","Adjustable pad","4",""
