"No
.","Material No.","Item and Spec","Qty","Note"
"1","1999904986","Document box ZJ1145029 
355×280×55","1",""
"2","00771100110201012","BoardⅠTp2","1",""
"3","00771100110230000","Cover installation","1",""
"4","1040102004","Screw M6×15-8.8","6","GB/T70.1-2000"
"5","1040201902","Nut M6-6","12","GB/T802-1988"
"6","1040300001","Washer 6-200HV","14","GB/T97.1-2002"
"7","1040300735","Washer 6-200HV","10","GB/T96.1-2002"
"8","1040102003","Screw M6×40-8.8","6","GB/T70.1-2000"
"9","00772700110210001","Platform weld","1",""
"10","1040201880","Nut M8-6","1","GB/T802-1988"
"11","00775600101801010","Key cylinder","1",""
"12","00773400100230000","Swing gate","1",""
"13","1040301515","Washer 8-200HV","2","GB/T97.1-2002"
"14","1040004522","Bolt M8×50-8.8","1","GB/T5783-2000"
"15","00775600101801020","Spring 00775600101801020 
d=1.2，D=14,H0=60,n=11","1",""
"16","1159901036","Spring hinge","2",""
"17","1040300514","Washer 5-200HV","12","GB/T97.1-2002"
"18","1029904911","Spring washer 5","12","GB93-304"
"19","1040004672","Bolt M5×10-8.8","12","GB/T5783-2000"
"20","1022397102","Open bellows","1",""
