"No.","Material No.","Item and Spec","Qty","Note"
"1","00772706200230010","Turntable Electrical Cables","0",""
"2","1029906298","Boom length limit 
switch-restricted position","1",""
"3","1029906298","Boom length limit switch-stowed 
position","1",""
"4","1021404630","Boom length sensor","1",""
"5","1021404019","Boom leveling angle sensor","1",""
"6","1020516032","Wire rope loose-approach switch 1","1",""
"7","1020516032","Wire rope loose-approach switch 2","1",""
"8","1020700540","Terminal resistance","1",""
"9","/","Telescopic main chamber","/",""
"10","/","Telescopic small chamber","/",""
