"No.","Material No.","Item and Spec","Qty","Note"
"31","00772500800001191","Tray gasket ITp2","2",""
"32","00772500800001201","Tray gasket IITp4","2",""
"33","1040004608","Bolt M12×45 -8.8","1","GB/T5782-2000"
"34","1040301031","Washer 12-300HV","1","GB/T96.1-2002"
"35","1040201875","Nut M10-8","2","GB/T889.1-2000"
"36","1040200507","Nut M12-8","1","GB/T889.1-2000"
"37","00772700800001170","Engine tray pin φ45*","1",""
"38","00773400400001250","Stop pin φ16×105*","1",""
"39","1040004570","Bolt M16×30 -8.8","1","GB/T5783-2000"
"40","1040302821","Washer 12-200HV","7","GB/T96.1-2002"
"41","1040301503","Washer 12","11","GB/T93-1987"
"42","1040004029","Bolt M12×35 -10.9","3","GB/T5783-2000"
"43","00771600301001340","Lubrication-free bearing O48×4","2",""
"44","00772700800001180","Friction plate T6*","1",""
"45","00771400801800000","Plug assembly","1",""
"46","00772700800001080","Swivel mounting plate Tp10","1",""
"47","1040301515","Washer 8-200HV","4","GB/T97.1-2002"
"48","1040004519","Bolt M8×25 -8.8","4","GB/T5783-2000"
"49","00772700800001140","Switch bracket plate Tp10","1",""
"50","1040005846","Bolt M12×20 -8.8","4","GB/T5783-2000"
"51","00772700800001110","Swivel water fender Tp4","1",""
"52","00772700800001020","Gear cover Tp2","1",""
"53","1040302489","Washer 10-200HV","11","GB/T97.1-2002"
"54","1040002433","Bolt M10×20 -8.8","3","GB/T5783-2000"
"55","1040103205","Screw M12×100 -8.8","1",""
"56","00772700800001150","Turntable lock pin Φ60*","1",""
"57","00772500800001020","Boom cushion block T40*","1",""
"58","1040301502","Washer 10","4","GB/T93-1987"
"59","1040000090","Bolt M10×30 -8.8","4","GB/T5783-2000"
"60","00772500800800000","Lifting cylinder","2",""
