"No.","Material No.","Item and Spec","Qty","Note"
"1","1040101995","Screw M10×30-8.8-DKL","4","GB/T70.1-2000"
"2","1040200504","Nut M10-8","16","GB/T889.1-2000"
"3","1040302489","Washer 10-200HV","16","GB/T97.1-2002"
"4","00772700700201110","Pipe line - Pressing plateTp4","3",""
"5","00772500700201030","Lower clip T16","3",""
"6","00772500700201020","Middle clip T18","3",""
"7","00772500700201010","Upper clip T12","3",""
"8","00772700700210000","Jib chain","1",""
"9","1040004581","Bolt M10×80-8.8","6","GB/T5783-2000"
"10","1040103375","Screw M10×30-8.8","6",""
"11","00772500700220001","Dragging pipe","1",""
"12","1040100153","Screw M8×35-8.8","2","GB/T70.1-2000"
"13","00772700700201160","BlockTp12","1",""
"14","1040301515","Washer 8-200HV","2","GB/T97.1-2002"
"15","1040200503","Nut M8-8","2","GB/T889.1-2000"
