"No.","Material No.","Item and Spec","Qty","Note"
"35","00772700301440000","Fixed pulley","2",""
"36","00772500301410001","Slider","2",""
"37","1040002435","Bolt M10×35 -8.8","16","GB/T5783-2016"
"38","00772700301460000","Side dust-proof brush","2",""
"39","00772700301430000","Slider","2",""
"40","00772700301601070","Adjustable pad","4",""
"41","1040000135","Bolt M8×55 -8.8","2","GB/T5783-2000"
"42","1040302480","Washer 8-200HV","2","GB/T96.1-2002"
"43","00772700301401020","上 Slider","2",""
"44","00772100301201120","Bolt","6",""
"45","1040201882","Nut M16","6","GB/T6172-2000"
"46","00772700301201050","Adjustable pad","4",""
"47","00772700301201040","Adjustable pad","8",""
"48","00772500302201080","Rope plate VI","1",""
