"Item","Part Number","Description","Qty.","Remark"
"1","00000619","Bolt  GB/T 5783  M6 × 25","4",""
"2","00000620","Flat Washer  GB/T 97.1  6","16",""
"3","50000364","Plate","2",""
"4","50000367","Plate, Clamp","4",""
"5","00000742","Nut  GB/T 889.1  M6","8",""
"6","50000368","Pad, Rubber","2",""
"7","00000744","Screw  GB/T 70  M8 × 40","2",""
"8","00000609","Spring Washer  GB/T 93  8","2",""
"9","00000608","Flat Washer  GB/T 97.1  8","2",""
"10","50000452","Cable Tube","1","BA20ERT"
"","50005665","Cable Tube","1","BA22ERT"
"11","00000683","Bolt  GB/T 5783  M10 × 30","4",""
"12","00000679","Spring Washer  GB/T 93  10","10","BA20ERT"
"","00000679","Spring Washer  GB/T 93  10","12","BA22ERT"
"13","00000615","Flat Washer  GB/T 97.1  10","14","BA20ERT"
"","00000615","Flat Washer  GB/T 97.1  10","16","BA22ERT"
"14","00000682","Nut  GB/T 889.1  M10","4",""
"15","00000743","Bolt  GB/T 5783  M6 × 20","4",""
"16","50000469","Carrier","1","BA20ERT"
"","50005667","Carrier","1","BA22ERT"
"17","50000458","Cable Track Carrier Weldment","1","BA20ERT"
"","50005663","Cable Track Carrier Weldment","1","BA22ERT"
"18","00000678","Bolt  GB/T 5783  M10 × 25","6","BA20ERT"
"","00000678","Bolt  GB/T 5783  M10 × 25","8","BA22ERT"
