"Item","Part Number","Description","Qty.","Remark"
"1","00002205","Contactor","1",""
"2","00001252","Screw  GB/T 70  M5 × 12","6",""
"3","00000606","Spring Washer  GB/T 93  5","6",""
"4","00000605","Flat Washer  GB/T 97.1  5","6",""
"5","00005407","Contactor","1",""
"6","00006280","Relay","2",""
"7","00000759","200A Fuse","1",""
"8","00000604","Screw  GB/T 70.1  M4×16","6",""
"9","00000757","Seat, Fuse","3",""
"10","00006266","600A Fuse","1",""
"11","50000099","Copper Bar 3","1",""
"12","50005359","Plate, Bracket","1",""
