"Item","Part Number","Description","Qty.","Remark"
"1","00001161","Bolt  GB/T 5783  M16 × 40","1",""
"2","00001035","Spring Washer  GB/T 93  16","1",""
"3","00000997","Flat Washer  GB/T 97.1  16","1",""
"4","00000222","8902-16095 Pin, Lock","1",""
"5","00000139","895-50500 Pin, Pivot","1",""
"6","00000671","8813-506040 Sleeve Bearing","2",""
"7","50005715","Rod, Connection 2","1","BA20ERT"
"","50005594","Rod, Connection 2","1","BA22ERT"
"8","50005501","Cage, Connection","1",""
"9","00000422","8813-455540 Sleeve Bearing","2",""
"10","00000117","895-45295 Pin, Pivot","1",""
"11","00000220","8902-10080 Pin, Lock","1",""
"12","00000683","Bolt  GB/T 5783  M10 × 30","1",""
"13","00000679","Spring Washer  GB/T 93  10","1",""
"14","00000615","Flat Washer  GB/T 97.1  10","1",""
