"Item","Part Number","Description","Qty.","Remark"
"1","00001291","Fitting, Straight","10",""
"2","00001833","Fitting, 90°","12",""
"3","50005456","Hose Assembly","2","BA20ERT"
"","50005763","Hose Assembly","2","BA22ERT"
"4","00001292","Fitting, Straight","24",""
"5","50003148","Hose Assembly","1",""
"6","50003149","Hose Assembly","1",""
"7","50003276","Hose Assembly","2","BA20ERT"
"","50005761","Hose Assembly","2","BA22ERT"
"8","50005184","Hose Assembly","2",""
"9","50003262","Hose Assembly","2","BA20ERT"
"","50005762","Hose Assembly","2","BA22ERT"
"10","50003259","Hose Assembly","1",""
"11","50003260","Hose Assembly","3",""
"12","50003268","Hose Assembly","2","BA20ERT"
"","50005765","Hose Assembly","2","BA22ERT"
"13","00002136","Fitting, Bulkhead, Straight","2",""
"14","50003266","Hose Assembly","1",""
"15","50003267","Hose Assembly","1",""
"16","00002119","Fitting, Tee","2",""
"17","00007284","Fitting, Straight","2",""
"18","50003264","Hose Assembly","2","BA20ERT"
"","50005759","Hose Assembly","2","BA22ERT"
"19","00002921","Fitting, Straight","10",""
"20","00001832","Fitting, 90°","5",""
"21","50003272","Hose Assembly","2",""
"22","00001769","Fitting, Straight","2",""
"23","50003275","Hose Assembly","1",""
"24","50003274","Hose Assembly","1",""
