"No.","Material No.","Item and Spec","Qty","Note"
"1","1020099472","Motor","2",""
"2","00772402802200000","Motor protective plate welds","1",""
"3","1040302490","Washer 12-200HV","4","GB/T97.1-2002"
"4","1040301503","Washer 12","4","GB/T93-1987"
"5","1040101978","Screw M12×30-10.9","4","GB/T70.1-2000"
"6","1040202860","Nut M24-10","2","GB/T889.1-2000"
"7","1040301555","Washer 24-300HV","2","GB/T97.1-2002"
"8","1040000668","Bolt M24×90-10.9","2","GB/5782-2000"
"9","1040202791","Nut M18-10","12","GB/T889.1-2000"
"10","1040300053","Washer 18-200HV","12","GB/T97.1-2002"
"11","1040001793","Bolt M18×80-10.9","12","GB/T5782-2000"
"12","1220001695","3.8T Electric chassis assembly","1",""
