"NO.","Material No.","Item and Spec","Units","Remark"
"1","00775300121800000","Lower components","1",""
"2","1040004599","Bolt M8×60-8.8","18","GB/T5782-2000"
"3","1040301515","Washer 8-200HV","36","GB/T97.1-2002"
"4","1040202855","Nut M8-8","18","GB/T889.1-2000"
"5","1040202869","Nut M3-8","2","GB/T889.1-2000"
"6","1040104106","Bolt M3×16-8.8","2","GB/T818-2000"
"7","00775400101600000","Fixed platform transition joint","2",""
"8","00775300121200000","Guard rails II","1",""
"9","00775300121000000","Guard rails I","1",""
"10","1100400025","D pin 6.3×55","2",""
"11","1040400001","Core pulling rivets 5×10","2","GB/T12618-1990"
"12","00775300121400000","Guard rails III","1",""
"13","1101000163","Spring hinge","2",""
"14","00775600101800000","Platform gate","1",""
"15","1040202854","Nut M6-8","12","GB/T889.1-2000"
"16","1040300771","Washer 6-200HV","24","GB/T97.1-2002"
"17","1040007503","Fixed platform guardrail 
mounting seat I","12","GB/T5782-2000"
"18","00775600102200000","Fixed platform mounting 
wheel","2",""
"19","00775600100001020","Gasket I","2",""
"20","00775600102400000","Platform pin mounting seat","2",""
"21","1040104096","Screw M8×50-8.8","8","GB/T70.3-2000"
"22","1040000469","Nut M5","6","GB/T889.1-2000"
"23","00775300120800000","Screw M5×12-8.8","6","GB/T70.1-2000"
"24","00775300122000000","Power mounting plate","1",""
"25","00775300121000000","Platform AC assembly","1",""
