"NO.","Material No.","Item and Spec","Units","Remark"
"1","00772000300001030","Lower sliding block","2",""
"2","00775200310001100","Gasket","2",""
"3","1054400341","Composite bush","2",""
"4","1040202855","Nut M8-8","2","GB/T889.1-2000"
"5","1040004599","Bolt M8×60-8.8","2","GB/T5782-2000"
"6","00772000300001010","Lower sliding shaft","1",""
"7","00775200001001030","Upper fixed shaft","4",""
"8","00775200001001020","Upper sliding block","2",""
"9","1040303580","Washe 8","8","GB/T97.1-2002"
"10","1040004632","Bolt M8×100-8.8","2","GB/T5782-2000"
"11","1040202855","Nut M18-8","4","GB/T889.1-2000"
"12","1054400342","Composite bush","4",""
"13","1040007539","Bolt M8×110-8.8","2","GB/T5782-2000"
"14","00775200001001080","Upper sliding block","2",""
"15","1040000288","Bolt M8×25-8.8","1","GB/T5783-200"
"16","1040300063","Washe 8","1","GB/T93-1987"
"17","1040300066","Washe 8","1","GB/T97.1-2002"
"18","00775600000001050","Articulated pin","1",""
"19","00775200001001050","Lower fixed shaft","1",""
"20","00772000100000000","Work Platform","1",""
"21","00772000300000000","Scissor Arm","1",""
"22","00772002800000000","Chassis","1",""
