"No.","Material No.","Item and Spec","Qty","Remark"
"36","1040000135","Bolt M8×55-8.8","2","GB/T5783-2000"
"37","00772100301601060","Sealing plate Tp10","1",""
"38","1040301502","Washer 10","4","GB/T93-1987"
"39","1040004508","Bolt M10×45-8.8","4","GB/T5783-2000"
"40","00772100301201060","Slider T38*","1",""
"41","00771900301201060","Block Ow20×3.5","4",""
"42","00772100301201050","Slider T38*","1",""
"43","00772100301201020","Slider T20","8",""
"44","00772100301201120","Bolt","6",""
"45","1040201882","Nut M16","6","GB/T6172-2000"
"46","00772100301601020","Upper slider ⅡT130","1",""
"47","00772100301601010","Upper slider ⅠT130","1",""
"48","00772100301101020","Plate Tp5","2",""
"49","00772100301111010","PulleyT27*","2",""
"50","00772100301111020","Beam barrel","2",""
"51","00772100301001170","Lubrication-free bearing (with 
flange)","2",""
"52","00772100301101010","Axle","2",""
"53","00772100301001190","Snap-gauge Tp8","2",""
"54","1040301511","Washer 24-200HV","2","GB/T97.1-2002"
"55","1040201111","Nut M24-10","2","GB/T889-1986"
"56","1040002434","Bolt M10×25-8.8","2","GB/T5783-2000"
